Experiment ID	Name	Citation	Description	URL	PMID
1369	Global Survey of Phosphotyrosine Signaling Identifies Oncogenic Kinases in Lung Cancer	Rikova K,Guo A,Zeng Q,Possemato A,Yu J,Haack H,Nardone J,Lee K,Reeves C,Li Y,Hu Y,Tan Z,Stokes M,Sullivan L,Mitchell J,Wetzel R,Macneill J,Ren JM,Yuan J,Bakalarski CE,Villen J,Kornhauser JM,Smith B,Li D,Zhou X,Gygi SP,Gu TL,Polakiewicz RD,Rush J,Comb MJ. <b>Cell</b>. 2007-December. Vol 131. 1190-203.	Characterized tyrosine kinase signaling of 41 lung cancer cell lines using a phosphoproteomic approach.	http://www.sciencedirect.com/science/article/pii/S009286740701522X	18083107
1885	Phosphorylation site dynamics of early T-cell receptor signaling	Chylek LA,Akimov V,Dengjel J,Rigbolt KT,Hu B,Hlavacek WS,Blagoev B. <b>PloS one</b>. 2014-August. Vol 9. e104240.	Early T-cell signaling, activated by anti-CD28 antibody, measured at 0, 5, 15, 30, and 60 seconds. Phosphotyrosine enrichment and LC-MS/MS with SILAC labels. Quantification is the log2 of the stimulated to unstimulated sample.		25147952
1381	[Default Assignments] Multiple reaction monitoring for robust quantitative proteomic analysis of cellular signaling networks	Wolf-Yadlin A,Hautaniemi S,Lauffenburger DA,White FM. <b>Proceedings of the National Academy of Scienc</b>. 2007-April. Vol 104. 5860-5.	Phosphotyrosine dynamics of EGF-stimulated human mammary epithelial cells.		17389395
1777	Ultra-deep tyrosine phosphoproteomics enabled by a phosphotyrosine superbinder	Bian Y,Li L,Dong M,Liu X,Kaneko T,Cheng K,Liu H,Voss C,Cao X,Wang Y,Litchfield D,Ye M,Li SS,Zou H. <b>Nature chemical biology</b>. 2016-September. Vol 12. 959-66.	A SRC SH2 domain superbinder was used to enrich for tyrosine phosphorylation from nine human cell lines (HeLa, Jurkat, Bel7402, Hep-G2, MCF-7, BT-474, SK-BR-3, MDA-MB-231, MCF-10A) treated with pervanadate.		27642862
1386	[Miscleavages Removed][Default Assignments] Multiple reaction monitoring for robust quantitative proteomic analysis of cellular signaling networks	Wolf-Yadlin A,Hautaniemi S,Lauffenburger DA,White FM. <b>Proceedings of the National Academy of Scienc</b>. 2007-April. Vol 104. 5860-5.	Phosphotyrosine dynamics of EGF-stimulated human mammary epithelial cells. When multiple peptide fragments representing the same phosphorylation site existed, the miscleaved peptide was removed.		17389395
1387	Effects of HER2 overexpression on cell signaling networks governing proliferation and migration	Wolf-Yadlin A,Kumar N,Zhang Y,Hautaniemi S,Zaman M,Kim HD,Grantcharova V,Lauffenburger DA,White FM. <b>Molecular systems biology</b>. 2006-October. Vol 2. 54.	Quantitative phosphotyrosine analysis of wild type and HER2 overexpressing human mammary epithelial cells stimulated by EGF and HRG.		17016520
1390	System-wide temporal characterization of the proteome and phosphoproteome of human embryonic stem cell differentiation	Rigbolt KT,Prokhorova TA,Akimov V,Henningsen J,Johansen PT,Kratchmarova I,Kassem M,Mann M,Olsen JV,Blagoev B. <b>Science signaling</b>. 2011-March. Vol 4. rs3.	SILAC-based profiling of phosphopeptides from human embryonic stem cells. PMA and NCM stimulation in time relative to unstimulated.		21406692
1391	Evolution of phosphoregulation: comparison of phosphorylation patterns across yeast species	Beltrao P,Trinidad JC,Fiedler D,Roguev A,Lim WA,Shokat KM,Burlingame AL,Krogan NJ. <b>PLoS biology</b>. 2009-June. Vol 7. e1000134.	Yeast phosphoproteome profiling of A. albicans, S. pombe, and S. cerevisiae		19547744
1521	Signaling networks assembled by oncogenic EGFR and c-MET: Profiling of lung cancer cell lines	Guo A,Villen J,Kornhauser J,Lee KA,Stokes MP,Rikova K,Possemato A,Nardone J,Innocenti G,Wetzel R,Wang Y,MacNeill J,Mitchell J,Gygi SP,Rush J,Polakiewicz RD,Comb MJ. <b>Proceedings of the National Academy of Scienc</b>. 2008-January. Vol 105. 692-7.	Supplementary Table 4, tyrosine phosphorylation profiling of seven lung cancer cell lines. Quantitative data represents number of times phosphopeptide was identified in PhosphoScan experiment.		18180459
1395	HPRD: Human Protein Reference Database Curated Modifications	Keshava Prasad TS,Goel R,Kandasamy K,Keerthikumar S,Kumar S,Mathivanan S,Telikicherla D,Raju R,Shafreen B,Venugopal A,Balakrishnan L,Marimuthu A,Banerjee S,Somanathan DS,Sebastian A,Rani S,Ray S,Harrys Kishore CJ,Kanth S,Ahmed M,Kashyap MK,Mohmood R,Ramachandra YL,Krishna V,Rahiman BA,Mohan S,Ranganathan P,Ramabadran S,Chaerkady R,Pandey A. <b>Nucleic acids research</b>. 2008-December. Vol 37. D767-72.	July 2010 download of HPRD's modification table.	http://hprd.org/	18988627
1402	Time-resolved mass spectrometry of tyrosine phosphorylation sites in the epidermal growth factor receptor signaling network reveals dynamic modules	Zhang Y,Wolf-Yadlin A,Ross PL,Pappin DJ,Rush J,Lauffenburger DA,White FM. <b>Molecular & cellular proteomics : MCP</b>. 2005-September. Vol 4. 1240-50.	Phosphotyrosine analysis of HMEC cells in response to EGF, measured at 0, 5, 10 and 30minutes.		15951569
1787	[Cell lines specified] Global survey of phosphotyrosine signaling identifies oncogenic kinases in lung cancer, with cell lines specified	Rikova K,Guo A,Zeng Q,Possemato A,Yu J,Haack H,Nardone J,Lee K,Reeves C,Li Y,Hu Y,Tan Z,Stokes M,Sullivan L,Mitchell J,Wetzel R,Macneill J,Ren JM,Yuan J,Bakalarski CE,Villen J,Kornhauser JM,Smith B,Li D,Zhou X,Gygi SP,Gu TL,Polakiewicz RD,Rush J,Comb MJ. <b>Cell</b>. 2007-December. Vol 131. 1190-203.	Characterized tyrosine kinase signaling of 41 lung cancer cell lines using a phosphoproteomic approach. This experiment contains the cell line or sample used as a run type.		18083107
1790	PhosphositePlus November 2016	Hornbeck PV,Zhang B,Murray B,Kornhauser JM,Latham V,Skrzypek E. <b>Nucleic acids research</b>. 2015-January. Vol 43. D512-20.	Phosphorylation; Methylation; Acetylation; Ubiquitination; Sumoylation; O-GlcNAc	http://www.phosphosite.org/homeAction.action	25514926
